"referencia","descr_produto","QTD Vendida","tipo_evento","essential_Y_N","tipo_colecao"
S5867B010,PAPETE RÁFIA BEGE,762,VERÃO 2026,Não,V26
S5867D009,TÊNIS RECORTES CAFE,615,VERÃO 2026,Não,V26
S58658724,RASTEIRA FLOR DOURADO,589,VERÃO 2026,Não,V26
S5867A010,RASTEIRA RAFIA BEGE,536,VERÃO 2026,Não,V26
S5867E881,TÊNIS CHUNKY OFF WHITE,530,VERÃO 2026,Não,V26
S5864J012,RASTEIRA ENFEITES CARAMELO,474,VERÃO 2026,Não,V26
S5865D170,RASTEIRA ENFEITE MEDALHAS MARROM,439,VERÃO 2026,Não,V26
S5869D055,RASTEIRA RÁFIA PALHA,415,VERÃO 2026,Não,V26
S5867I170,TÊNIS BORDADO MARROM,412,VERÃO 2026,Não,V26
S58654881,RASTEIRA CALCE FÁCIL ENFEITE OFF WHITE,405,VERÃO 2026,Não,V26
S58654012,RASTEIRA CALCE FÁCIL ENFEITE CARAMELO,372,VERÃO 2026,Não,V26
S5866Q009,RASTEIRA ESFERAS CAFE,366,VERÃO 2026,Não,V26
S5867J022,TÊNIS MULTI RECORTES ROSA,351,VERÃO 2026,Não,V26
S58647012,SANDÁLIA ENFEITES CARAMELO,339,VERÃO 2026,Não,V26
S5869E055,RASTEIRA RAFIA PALHA,334,VERÃO 2026,Não,V26
S585J0724,TAMANCO TEXTURIZADO DOURADO,328,VERÃO 2026,Não,V26
S5866C724,RASTEIRA TRANÇA DOURADO,324,VERÃO 2026,Não,V26
S5869R724,SANDÁLIA RÁFIA PEDRARIA DOURADO,305,VERÃO 2026,Não,V26
S58653881,TAMANCO ENFEITE OFF WHITE,299,VERÃO 2026,Não,V26
S58679012,RASTEIRA ENFEITES ESFERAS CARAMELO,286,VERÃO 2026,Não,V26
S58643012,TAMANCO TRAMADO NÓ CARAMELO,268,VERÃO 2026,Não,V26
S5864G012,RASTEIRA ENFEITES CARAMELO,266,VERÃO 2026,Não,V26
S58664881,RASTEIRA ENFEITES E TACHAS OFF WHITE,261,VERÃO 2026,Não,V26
